c_entry_desc_chn
清廉守節政術可稱堪縣令科
賢良方正能直言極諫科
隠居丘園不求聞達科
才高未達沈跡下僚科
高才沈淪草澤自舉科
詳明政術可以理人科
博通墳典達於教化科
手筆俊拔超越流輩科
才識兼茂明於體用科
英才傑出業奥大經科
臨難不顧徇節寧邦科
特恩保舉經學科
戚里女夫及捧香
吏人特恩減年
舉為孝廉方正
揀汰軍人補授
歸明歸正補官
文可以經邦科
以耆行等賜爵
以優行貢太學
恩科鄉試舉人
詞藻宏麗制舉
才可宰百里科
外藩蒙古王公
博通文詞科
明於政理科
智謀將帥科
下筆成章科
經學優深科
材堪經邦科
賢良方正科
武足安邊科
洞曉玄經科
藻思清華科
茂才異行科
隨奉使補官
陣亡人女夫
茂才異等科
手筆俊拔科
書判拔萃科
文辭清麗科
良才異等科
文辭雅麗科
文詞秀逸科
文藻流譽科
文藻宏麗科
博學宏詞科
哲人奇士科
詞學兼茂科
挑補拜唐阿
天下奇佚科
孝悌廉潔科
孝悌廉讓科
博學三史科
志烈秋霜科
准赦文除授
五經秀才科
才膺管樂科
外國大學生
文以經國科
軍謀越衆科
四川類省試
超拔群類科
文壇詞場科
文學優贍科
文藝優長科
博通墳典科
國子監進士
直言極諫科
冊封爲妃嬪
特奏名諸科
特奏名進士
冊封爲皇后
拔萃出類科
道侔伊呂科
辭殫文律科
諷諫主文科
風雅古調科
詞擅文場科
軍謀宏遠科
舉制科不第
法政科進士
藏器下僚科
英材傑出科
正奏名諸科
廢前帝自立
五品廕生
欽賜舉人
繙譯舉人
三品廕生
一品廕生
漕試舉人
二品廕生
繙譯進士
增廣生員
鄉貢舉人
六品廕生
諸科不第
易代變節
開元禮科
通五經科
胥吏出職
進納補官
賜名授官
大禮蔭補
畫院待詔
募入軍伍
開國君主
翻譯生員
博學鴻詞
經濟特科
考取教習
大考翰詹
內閣中書
科舉制舉
武舉進士
出身軍職
博學鴻儒
考上會試
以方技進
軍功補官
割據自立
上書獻頌
納土授官
辟爲幕僚
異姓恩澤
借補入官
保甲補官
招降補官
軍功補授
聖節蔭補
弑君自立
特賜補官
攝官轉正
雜色補授
武學博士
軍員轉補
前帝遜位
宗子該恩
平判入等
上舍及第
恩科孝廉
縣學生員
縣學附生
恩賜出身
特賜出身
書藝補官
遺表蔭補
致仕蔭補
死事蔭補
韜晦賢才
武貢士
牧宰科
明兩經
武舉科
萬言科
有道科
四子科
學究科
奉祀生
郡庠生
舉或詔
府學生
邑庠生
增廣生
拔萃科
附貢生
副貢生
官學生
明通榜
太學生
賜師號
附監生
廩貢生
難廕生
絕倫科
貢監生
尚宗女
武舉人
八行科
舉進士
童子舉
恩廕生
廩監生
中正榜
宏詞科
幽素科
大禮科
文生員
武生員
義學生
優貢生
樂舞生
筆帖式
醫科
孝廉
儒童
副榜
武童
明法
生員
庠生
秀才
世襲
立儲
文童
貢士
科舉
大挑
制舉
策試
恩貢
貢生
徵辟
恩蔭
祠生
鄉賓
大賓
介賓
賜名
捐授
射策
駙馬
保任
薦舉
廩生
副車
廉科
幼丁
親軍
明經
優監
恩監
鄉勇
例監
恩生
官生
蔭監
舉監
捐貢
增貢
例貢
納貢
佾生
拔貢
軍功
繼位
歲貢
監生
功貢
賓貢
八科
保舉
附生
封贈
副貢
