name
護國庇民妙靈昭應宏仁普濟福佑群生誠感咸孚顯神贊順垂慈篤祐天后
承天廣運聖德神功肇紀立極仁孝睿武端毅欽安弘文定業高皇帝
正倫立極盛德洪烈至誠大義格天熙運顯文毅武聖敬達孝大王
體天隆運定統建極英睿欽文顯武大德弘功至仁純孝章皇帝
受天興運敷化綏猷崇文經武光裕孝恭勤儉端敏英哲睿皇帝
繼天開運受中居正保大定功聖智誠孝信敏恭寬明肅毅皇帝
應天興國弘德彰武寬溫仁聖睿孝敬敏昭定隆道顯功文皇帝
協天翊運執中垂謨懋德振武聖孝淵恭端仁寬敏莊儉顯皇帝
合天弘運文武睿哲恭儉寬裕孝敬誠信中和功德大成仁皇帝
法天隆運至誠先覺體元立極敷文奮武欽明孝慈神聖純皇帝
敬天昌運建中表正文武英明寬仁信毅睿聖大孝至誠憲皇帝
效天符運立中體正至文聖武智勇仁慈儉勤孝敏寬定成皇帝
睿文英武遵道至德崇仁广孝功成治定昭圣神赞天辅皇帝
惠莊承天體道烈文英武至德隆功聖神明睿欽肅仁孝大王
昭聖慈壽恭簡安懿章慶敦惠溫莊康和仁宣弘靖太皇太后
開天行道肇紀立極大聖至神仁文義武俊德成功高皇帝
繼天開運受中居正保大定功聖智誠孝信敏恭寬毅皇帝
欽天守道敏毅剛明敦儉恪儉宏文襄武體仁至孝端皇帝
仁慈聖善欽孝廣德安靜貞純懿和寬厚崇覺儀天皇太后
協天翊運執中垂謨懋德振武聖孝淵恭端仁寬敏顯皇帝
效天符運立中體正至文聖武智勇仁慈儉勤孝敏成皇帝
合天弘運文武睿哲恭儉寬裕孝敬誠信功德大成仁皇帝
同天崇運大中至正經文緯武仁孝睿智端儉寬勤景皇帝
配天同运法古绍统粹文敬孚宽睿正穆体仁立孝襄皇帝
承天體道烈文英武至德隆功聖神明睿欽肅仁孝大王
弘文宣武尊道至德崇仁广孝聪睿昭圣神赞天辅皇帝
睿文神武法天启运明德章信至道广敬昭孝嗣圣皇帝
阿那氏天上得果報天男突厥聖天骨咄祿默啜大可汗
受天興敷化綏猷崇文經武孝恭勤儉端敏英哲睿皇帝
仁慈聖善欽孝廣德安靖貞純寬厚崇覺儀天皇太后
繼天凝道誠明仁敬崇文肅武宏德聖孝純皇帝
配天至道弘毅肅穆思文烈武敏仁廣孝襄皇帝
敬天體道純誠至德弘文欽武章聖達孝昭皇帝
知天守道洪德淵仁寬穆純聖恭儉敬文獻皇帝
