name
備禦左千戶所
備禦後千戶所
備禦前千戶所
備禦右千戶所
都團練觀察使
沿邊第一區
沿邊第二區
沿邊第三區
沿邊第四區
沿邊第五區
沿邊第六區
沿邊第七區
沿邊第八區
沿邊第九區
沿邊第十區
守禦千戶所
軍民千戶所
中前千戶所
中左千戶所
中右千戶所
中後千戶所
左右千戶所
備禦千戶所
群牧千戶所
行政督查區
特別行政區
副都統轄區
團練觀察使
防御觀察使
觀察防遏使
軍民總管府
江防兵備道
都團練觀察
前千戶所
左千戶所
右千戶所
省諸道區
將軍轄區
都防御使
行中書省
封國封郡
廉訪司道
團練觀察
防御觀察
觀察防遏
右屯衛
中屯衛
後屯衛
前屯衛
右護衛
左護衛
中護衛
長官司
揮使司
安撫司
儀衛司
宣慰司
慰使司
布政司
宣撫司
群牧所
市轄區
綏靖區
特別區
行政區
節度使
觀察使
團練使
防御使
經略使
處置使
守捉使
道行軍
鎮守軍
直隸廳
自治縣
都督府
總管府
都護府
總帥府
自治州
羈縻州
兵備道
監軍道
監察道
分巡道
分守道
千戶所
百戶所
都防御
五衛
右衛
左衛
中衛
前衛
護衛
節度
地區
特區
郊區
東路
西路
南路
北路
府路
中旗
前旗
後旗
右旗
左旗
分縣
土縣
王府
西道
東道
諸道
中道
觀察
團練
防御
經略
守捉
縣
陵
標
城
營
州
府
衛
郡
道
市
司
區
使
路
旗
軍
廳
省
